cell,F1,F2,p5_geo
S08_role20,0.2244,0.2148,0.21959055424351326
S07_no_filters,0.2229,0.1965,0.2096279800004628
S04_no_valuation,0.2098,0.1938,0.20177337297844966
S12_fresh12_10,0.198,0.1913,0.19464530300838656
S11_fresh6_15,0.1875,0.186,0.18674976300819202
S00_baseline,0.1808,0.1841,0.18244884878797185
S09_role40,0.1788,0.1857,0.1822449661554919
S10_fresh3_15,0.1913,0.1704,0.1808037601566146
S05_no_inst,0.1965,0.1615,0.17887011583125645
S02_revenue_only,0.1973,0.1583,0.1776385650954202
S13_role20_fresh6,0.1655,0.1864,0.1759035674748164
S06_mom_conv,0.1671,0.1395,0.15321743396464482
S03_conviction_only,0.1788,0.1174,0.14768947019653367
S01_momentum_only,0.1373,0.1487,0.14298578731321077
