combo,slots,weight,cell_name,cagr,sortino,mdd,boot_p5
c1_tp40_noabs,10,equal,g_tp0.4_tr0.2_abnone_td50_wequal,0.371,2.4,-0.181,0.1062
c1_tp40_noabs,10,score,g_tp0.4_tr0.2_abnone_td50_wscore,0.398,2.43,-0.233,0.099
c2_tp40_abs15,10,equal,g_tp0.4_tr0.2_ab0.15_td50_wequal,0.369,2.41,-0.195,0.0963
c1_tp40_noabs,5,equal,g_tp0.4_tr0.2_abnone_td50_wequal,0.465,2.47,-0.243,0.0892
c2_tp40_abs15,10,score,g_tp0.4_tr0.2_ab0.15_td50_wscore,0.397,2.44,-0.234,0.0868
c3_tpnone_abs15,10,score,g_tpnone_tr0.2_ab0.15_td50_wscore,0.455,2.26,-0.257,0.0779
c3_tpnone_abs15,10,equal,g_tpnone_tr0.2_ab0.15_td50_wequal,0.459,2.2,-0.253,0.0712
c2_tp40_abs15,15,score,g_tp0.4_tr0.2_ab0.15_td50_wscore,0.296,2.48,-0.195,0.0651
c3_tpnone_abs15,15,score,g_tpnone_tr0.2_ab0.15_td50_wscore,0.381,2.25,-0.228,0.059
c3_tpnone_abs15,5,equal,g_tpnone_tr0.2_ab0.15_td50_wequal,0.538,2.31,-0.262,0.0586
c1_tp40_noabs,15,score,g_tp0.4_tr0.2_abnone_td50_wscore,0.286,2.38,-0.196,0.0412
c3_tpnone_abs15,15,equal,g_tpnone_tr0.2_ab0.15_td50_wequal,0.364,2.19,-0.261,0.0353
c3_tpnone_abs15,5,score,g_tpnone_tr0.2_ab0.15_td50_wscore,0.454,2.1,-0.281,0.0294
c2_tp40_abs15,15,equal,g_tp0.4_tr0.2_ab0.15_td50_wequal,0.247,2.19,-0.217,0.0122
c1_tp40_noabs,15,equal,g_tp0.4_tr0.2_abnone_td50_wequal,0.249,2.21,-0.222,0.0097
c1_tp40_noabs,5,score,g_tp0.4_tr0.2_abnone_td50_wscore,0.434,2.28,-0.342,0.0068
c2_tp40_abs15,5,equal,g_tp0.4_tr0.2_ab0.15_td50_wequal,0.41,2.36,-0.299,0.002
c2_tp40_abs15,5,score,g_tp0.4_tr0.2_ab0.15_td50_wscore,0.37,2.19,-0.314,-0.0049
