cell,WF,p5_geo
S08_role20,0.0414,0.0414000000000001
S09_role40,0.0336,0.033600000000000074
S07_no_filters,0.0295,0.02950000000000008
S12_fresh12_10,0.0291,0.029099999999999904
S00_baseline,0.0236,0.023600000000000065
S13_role20_fresh6,0.0176,0.01760000000000006
S04_no_valuation,0.0158,0.015800000000000036
S11_fresh6_15,0.0134,0.013400000000000079
S05_no_inst,0.0127,0.012699999999999934
S10_fresh3_15,0.009,0.008999999999999897
S02_revenue_only,-0.0084,-0.008399999999999963
S01_momentum_only,-0.0139,-0.013900000000000023
S03_conviction_only,-0.0162,-0.016199999999999992
S06_mom_conv,-0.0326,-0.03259999999999996
